Name: 2 2
Grade level: 6
Identifier, Grade, Timestamp, Seconds Spent on Puzzle, Level, Accuracy, Number of Puzzles

22, 6, 2024-04-15 11:49:10,2, Level 1, 0, -1
22, 6, 2024-04-15 11:49:12,2, Level 2, 0, -1
22, 6, 2024-04-15 11:49:15,2, Level 2, 0, -1
22, 6, 2024-04-15 11:49:16,1, Level 2, 0, -1
22, 6, 2024-04-15 11:49:17,0, Level 2, 0, -1
22, 6, 2024-04-15 11:49:19,1, Level 2, 0, -1
22, 6, 2024-04-15 11:49:20,1, Level 2, 0, -1
22, 6, 2024-04-15 11:49:21,0, Level 2, 0, -1
22, 6, 2024-04-15 11:52:03,161, Level 2, 50, -1
22, 6, 2024-04-15 11:52:14,10, Level 2, 0, -1
22, 6, 2024-04-15 11:52:30,6, Level 2, 100, -1
22, 6, 2024-04-15 11:54:06,70, Level 2, 50, -1
22, 6, 2024-04-15 11:56:48,38, Level 2, 100, -1
22, 6, 2024-04-15 11:58:14,65, Level 2, 100, -1
22, 6, 2024-04-15 12:00:08,94, Level 2, 100, -1
22, 6, 2024-04-15 12:01:46,87, Level 2, 100, -1
22, 6, 2024-04-15 12:03:46,118, Level 2, 100, -1
22, 6, 2024-04-15 12:04:58,46, Level 2, 100, -1
22, 6, 2024-04-15 12:09:20,37, Level 2, 100, -1
22, 6, 2024-04-15 12:10:36,50, Level 2, 100, -1
22, 6, 2024-04-15 12:11:14,29, Level 2, 100, -1
22, 6, 2024-04-15 12:13:07,40, Level 2, 100, -1
22, 6, 2024-04-15 12:15:03,102, Level 2, 100, -1
22, 6, 2024-04-15 12:15:52,29, Level 2, 100, -1
22, 6, 2024-04-15 12:17:16,58, Level 2, 100, -1
22, 6, 2024-04-15 12:18:51,76, Level 2, 100, -1
22, 6, 2024-04-15 12:19:46,43, Level 2, 100, -1
