Name: fauna forest
Grade level: 6
Identifier, Grade, Timestamp, Seconds Spent on Puzzle, Level, Accuracy, Number of Puzzles

faunaforest, 6, 2024-04-15 12:30:14,4, Level 1, 100, -1
faunaforest, 6, 2024-04-15 12:30:26,11, Level 2, 100, -1
faunaforest, 6, 2024-04-15 12:30:38,10, Level 3, 100, 1
faunaforest, 6, 2024-04-15 12:30:48,10, Level 3, 100, 2
faunaforest, 6, 2024-04-15 12:30:58,30, Level 3, 100, -1
faunaforest, 6, 2024-04-15 12:32:17,2, Level 3, 0, 1
faunaforest, 6, 2024-04-15 12:32:18,1, Level 3, 0, 2
faunaforest, 6, 2024-04-15 12:32:18,0, Level 3, 0, 3
faunaforest, 6, 2024-04-15 12:32:45,30, Level 3, 0, 3
